ID,CLASSIFIED,SUMMARY
LUCENE-2719,NUG, Re-add SorterTemplate and use it to provide fast ArraySorting and replace BytesRefHash sorting 
LUCENE-754,BUG," FieldCache keeps hard references to readers, doesn't prevent multiple threads from creating same instance "
LUCENE-1487,NUG, FieldCacheTermsFilter 
LUCENE-2216,BUG, OpenBitSet#hashCode() may return false for identical sets. 
LUCENE-1061,NUG, Adding a factory to QueryParser to instantiate query instances 
LUCENE-456,BUG, Duplicate hits and missing hits in sorted search 
LUCENE-2243,NUG, FastVectorHighlighter: support DisjunctionMaxQuery 
LUCENE-2458,NUG, queryparser makes all CJK queries phrase queries regardless of analyzer 
LUCENE-2670,NUG, allow automatontermsenum to work on full byte range 
LUCENE-3183,BUG, TestIndexWriter failure: AIOOBE 
LUCENE-2606,NUG, optimize contrib/regex for flex 
LUCENE-609,NUG, Lazy field loading breaks backward compat 
LUCENE-912,BUG, DisjunctionMaxScorer.skipTo has bug that keeps it from skipping 
LUCENE-2144,BUG, InstantiatedIndexReader does not handle #termDocs(null) correct (AllTermDocs) 
LUCENE-3129,NUG, Single-pass grouping collector based on doc blocks 
LUCENE-1826,NUG, All Tokenizer implementations should have constructors that take AttributeSource and AttributeFactory 
LUCENE-3743,NUG, LuceneTestCase's uncaught exceptions handler should check for AssumptionViolatedExceptions and then not trigger test failure 
LUCENE-1495,NUG, Allow TaskSequence to run for certain time 
LUCENE-3483,NUG, Move Function grouping collectors from Solr to grouping module 
LUCENE-882,NUG, Spellchecker doesn't need to store ngrams 
LUCENE-3472,NUG, add back Document.getValues() 
LUCENE-2826,NUG, LineDocSource should assign stable IDs; docdate field should be NumericField 
LUCENE-1435,NUG, CollationKeyFilter: convert tokens into CollationKeys encoded using IndexableBinaryStringTools 
LUCENE-539,NUG, Fix for deprecations in contrib/surround 
LUCENE-2035,BUG, TokenSources.getTokenStream() does not assign positionIncrement 
LUCENE-3196,NUG, Optimize FixedStraightBytes for bytes size == 1 
LUCENE-764,NUG, Document the temporary free space requirements of IndexWriter methods 
LUCENE-1903,BUG, Incorrect ShingleFilter behavior when outputUnigrams == false 
LUCENE-1843,NUG," Convert some tests to new TokenStream API, better support of cross-impl AttributeImpl.copyTo() "
LUCENE-661,NUG, BUILD.txt instructions wrong for JavaCC 
LUCENE-2038,NUG, Systemrequirements should say 1.5 instead of 1.4 
LUCENE-771,NUG, Change default write lock file location to index directory (not java.io.tmpdir) 
LUCENE-929,NUG, contrib/benchmark build doesn't handle checking if content is properly extracted 
LUCENE-2254,NUG, Support more queries (other than just title) in Trec quality pkg 
LUCENE-2634,BUG, IndexReader.isCurrent() lies if documents were only removed by latest commit 
LUCENE-3186,NUG, DocValues type should be recored in FNX file to early fail if user specifies incompatible type 
LUCENE-1449,BUG, IndexDeletionPolicy.delete behaves incorrectly when deleting latest generation  
LUCENE-3210,NUG, TieredMergePolicy should expose control over how aggressively segments with deletions are targeted  
LUCENE-207,BUG, [PATCH] npe if java.io.tmpdir does not exist 
LUCENE-1582,NUG, Make TrieRange completely independent from Document/Field with TokenStream of prefix encoded values 
LUCENE-1325,NUG, add IndexCommit.isOptimized method 
LUCENE-1142,NUG, Updated Snowball package 
LUCENE-3690,NUG, JFlex-based HTMLStripCharFilter replacement 
LUCENE-1346,NUG, replace Vector with ArrayList in Queries 
LUCENE-2961,NUG, Remove benchmark/lib/xml-apis.jar - JVM 1.5 already contains the required JAXP 1.3 implementation 
LUCENE-1809,NUG, highlight-vs-vector-highlight.alg is unfair 
LUCENE-3644,BUG, problems with IR's readerFinishedListener 
LUCENE-3578,BUG, TestSort testParallelMultiSort reproducible seed failure 
LUCENE-1724,NUG, Analysis package calls Java 1.5 API 
LUCENE-2055,NUG, Fix buggy stemmers and Remove duplicate analysis functionality 
LUCENE-3306,NUG, disable positions for spellchecker ngram fields 
LUCENE-1488,NUG, multilingual analyzer based on icu 
LUCENE-2444,NUG, move contrib/analyzers to modules/analysis 
LUCENE-941,BUG, Benchmark alg line -  {[AddDoc(4000)]: 4} : * - causes an infinite loop 
LUCENE-3776,NUG, NRTManager shouldn't expose its private SearcherManager 
LUCENE-3658,BUG, NRTCachingDir has invalid asserts (if same file name is written twice) 
LUCENE-1327,BUG, TermSpans skipTo() doesn't always move forwards 
LUCENE-3074,NUG, SimpleTextCodec needs SimpleText DocValues impl 
LUCENE-1369,NUG, Eliminate unnecessary uses of Hashtable and Vector 
LUCENE-3573,BUG," TaxonomyReader.refresh() is broken, replace its logic with reopen(), following IR.reopen pattern "
LUCENE-2169,NUG, Speedup of CharArraySet#copy if a CharArraySet instance is passed to copy. 
LUCENE-1465,BUG, NearSpansOrdered.getPayload does not return the payload from the minimum match span 
LUCENE-2796,NUG, Tests need to clean up after themselves 
LUCENE-2012,NUG, Add @Override annotations 
LUCENE-3687,NUG, Allow similarity to encode norms other than a single byte 
LUCENE-540,BUG, Merging multiple indexes does not maintain document order. 
LUCENE-2934,NUG, Alternative depth-based DOT layout ordering in FST's Utils 
LUCENE-443,NUG, ConjunctionScorer tune-up 
LUCENE-656,NUG, FieldsInfo uses deprecated API 
LUCENE-3534,NUG, Backport FilteredQuery/IndexSearcher changes to 3.x: Remove filter logic from IndexSearcher and delegate to FilteredQuery 
LUCENE-1280,BUG, NPE in PhraseQuery.toString(String f) 
LUCENE-729,NUG, non-recursive MultiTermDocs 
LUCENE-1038,NUG, TermVectorMapper.setDocumentNumber() 
LUCENE-3225,NUG, Optimize TermsEnum.seek when caller doesn't need next term 
LUCENE-3745,NUG, Need stopwords and stoptags lists for default Japanese configuration 
