CLASSIFIED_LABEL,WORDS_TF,SUMMARY,WORDS_TF_norm,rawPrediction,probability,prediction,Allocation,Reason for misclassification,Category(if any)
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[272,362,640,2309],""values"":[1,1,1,1]}", Behavior on hard power shutdown ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[272,362,640,2309],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-32.994792859141704,-32.86915182851038]}","{""vectorType"":""dense"",""length"":2,""values"":[0.4686309965473172,0.5313690034526828]}",1,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[46,61,146,197,448,576,614,757,1904,2293],""values"":[1,1,1,1,1,1,1,1,1,1]}", Hitting disk full during DocumentWriter.ThreadState.init(...) can cause hang ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[46,61,146,197,448,576,614,757,1904,2293],""values"":[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]}","{""vectorType"":""dense"",""length"":2,""values"":[-80.3511124189432,-74.32771199403884]}","{""vectorType"":""dense"",""length"":2,""values"":[0.002415572597170397,0.9975844274028297]}",1,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,63,76,154,650,891],""values"":[1,1,1,1,1,1]}", Fix StandardAnalyzer to not mis-identify HOST as ACRONYM by default ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,63,76,154,650,891],""values"":[0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666]}","{""vectorType"":""dense"",""length"":2,""values"":[-41.18277046154947,-40.016867543234895]}","{""vectorType"":""dense"",""length"":2,""values"":[0.23759634929524803,0.762403650704752]}",1,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[24,139,160,824,1190],""values"":[1,1,1,1,1]}", Sun hotspot compiler bug in 1.6.0_04/05 affects Lucene ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[24,139,160,824,1190],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-37.16431724056419,-37.074062085908025]}","{""vectorType"":""dense"",""length"":2,""values"":[0.4774515159075872,0.5225484840924128]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[155,207,290,1073],""values"":[1,1,1,1]}", MoreLikeThis ignores custom similarity ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[155,207,290,1073],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-30.373754035029123,-31.413864595903537]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7388713383161989,0.2611286616838011]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,31,62,71,97,142,151,184],""values"":[1,1,1,1,1,1,1,1]}", Allow storing user data when IndexWriter.commit() is called ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,31,62,71,97,142,151,184],""values"":[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]}","{""vectorType"":""dense"",""length"":2,""values"":[-50.13799443238675,-50.082933219539356]}","{""vectorType"":""dense"",""length"":2,""values"":[0.48623817346589104,0.513761826534109]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[62,1091],""values"":[1,1]}", Instantiated/IndexWriter discrepanies ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[62,1091],""values"":[0.5,0.5]}","{""vectorType"":""dense"",""length"":2,""values"":[-14.969296882591339,-15.629059099763115]}","{""vectorType"":""dense"",""length"":2,""values"":[0.6592069718147855,0.34079302818521456]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,75,96,143,174,183,207,2340],""values"":[1,1,1,1,1,1,1,1]}", Missing possibility to supply custom FieldParser when sorting search results ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,75,96,143,174,183,207,2340],""values"":[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]}","{""vectorType"":""dense"",""length"":2,""values"":[-55.58575379955992,-53.203600038492354]}","{""vectorType"":""dense"",""length"":2,""values"":[0.08454372383670028,0.9154562761632998]}",1,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,3,11,62,83,695,1044,2015],""values"":[1,1,1,1,1,1,1,1]}", IndexWriter does not do the right thing when a Thread is interrupt()'d ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,3,11,62,83,695,1044,2015],""values"":[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]}","{""vectorType"":""dense"",""length"":2,""values"":[-55.76575092520699,-50.5534291360973]}","{""vectorType"":""dense"",""length"":2,""values"":[0.005419476773085445,0.9945805232269146]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,46,174,207,248,325,360,408,487,498,517,939],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}"," While you could use a custom Sort Comparator source with remote searchable before, you can no longer do so with FieldComparatorSource ","{""vectorType"":""sparse"",""length"":2425,""indices"":[1,46,174,207,248,325,360,408,487,498,517,939],""values"":[0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-87.00853530720282,-87.08040393072707]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5179594263617683,0.48204057363823166]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,11,62,99,152,671,772,1141,1291],""values"":[1,1,1,1,1,1,1,1,1]}", IndexWriter does not properly account for the RAM consumed by pending deletes ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,11,62,99,152,671,772,1141,1291],""values"":[0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111]}","{""vectorType"":""dense"",""length"":2,""values"":[-65.23699306835042,-60.920504966373855]}","{""vectorType"":""dense"",""length"":2,""values"":[0.01317088597515797,0.986829114024842]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[21,44,385,439,1035,1183,1199],""values"":[1,1,1,1,1,1,1]}", contrib-spatial java.lang.UnsupportedOperationException on QueryWrapperFilter.getDocIdSet ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[21,44,385,439,1035,1183,1199],""values"":[0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-53.9372148441261,-54.97467676789916]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7383599857672606,0.2616400142327394]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,15,58,156,189,203,249,1069,1092],""values"":[1,1,1,1,1,1,1,1,1]}"," when checking tvx/fdx size mismatch, also include whether the file exists ","{""vectorType"":""sparse"",""length"":2425,""indices"":[3,15,58,156,189,203,249,1069,1092],""values"":[0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111]}","{""vectorType"":""dense"",""length"":2,""values"":[-62.585113475656115,-61.21851168692583]}","{""vectorType"":""dense"",""length"":2,""values"":[0.20316943344743865,0.7968305665525613]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[27,705,1195],""values"":[1,1,1]}", InitiatedIndex: CCE on casting NumericField to Field ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[27,705,1195],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-22.96734101749395,-24.148856688997004]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7652202160878289,0.234779783912171]}",0,Sanyam,,
