,ID,SUMMARY,CLASSIFIED
0,HTTPCLIENT-2000, PublicSuffixMatcher.getDomainRoot returns only normalized domain ,BUG
1,HTTPCLIENT-2001, Plus sign in URL has stopped working ,BUG
2,HTTPCLIENT-2002, CloseableHttpClient end of stream The target server failed to respond: org.apache.http.NoHttpResponseException: The target server failed to respond ,BUG
3,HTTPCLIENT-2003, DefaultHostnameVerifier.verify failled for host not ending with public suffix ,BUG
4,HTTPCLIENT-2004, setMaxConnPerRoute & setMaxConnTotal configs not working ,BUG
5,HTTPCLIENT-2005, ContentCompressionExec is not thread-safe ,BUG
6,HTTPCLIENT-2006," HttpClient 5.0-beta5 gets 403 error for URL, works in HttpClient 4/Curl/Wget etc ",BUG
7,HTTPCLIENT-2007, Performance Issue with Pooled Connection Manager + Custom socket factory  ,NUG
8,HTTPCLIENT-2008, org.apache.hc.client5.http.impl.AuthSupport#extractFromAuthority  StringIndexOutOfBoundsException ,BUG
9,HTTPCLIENT-2009, org.apache.hc.client5.http.impl.AuthSupport#extractFromAuthority  StringIndexOutOfBoundsException ,BUG
10,HTTPCLIENT-2010, SSL handshaking taking lot of time in createLayeredSocket in SSLConnectionSocketFactory ,NUG
11,HTTPCLIENT-2011, Encoded plus sign (%2B) is not preserved when URI contains an encoded forward slash (%2F) ,BUG
12,HTTPCLIENT-2012, URIBuilder#setPathSegments Doesn't URL-encode Reserved Characters ,BUG
13,HTTPCLIENT-2013, Connect timeout throws HttpHostConnectException (ConnectException) instead of ConnectTimeoutException (IOException) ,BUG
14,HTTPCLIENT-2014, Refactor DefaultRedirectStrategy for subclassing ,NUG
15,HTTPCLIENT-2015, Connect timeout value is effective doubled ,NUG
16,HTTPCLIENT-2016, Tab chars are replaced by question marks in header values ,BUG
17,HTTPCLIENT-2017, HttpClient5 double-closes IOSessions for HTTP/1.1 HEAD requests ,BUG
18,HTTPCLIENT-2018, Improper input validation vulnerability in commons-codec version used by latest HttpClient ,BUG
19,HTTPCLIENT-2019, Remove ServiceUnavailableRetryStrategy in favor of HttpRequestRetryStrategy ,BUG
20,HTTPCLIENT-2020, DefaultBackoffStrategy should include TOO_MANY_REQUESTS (429) too ,NUG
21,HTTPCLIENT-2021, Can not interrupt a request with thread.interrupt (hystrix) ,BUG
22,HTTPCLIENT-2022, HttpCacheEntrySerializationException Message Unused ,NUG
23,HTTPCLIENT-2023, Whitelist Char Array in DefaultHttpCacheEntrySerializer ,BUG
24,HTTPCLIENT-2024, NoHttpResponseException on high Load ,BUG
25,HTTPCLIENT-2025, URIBuilder clone ,NUG
26,HTTPCLIENT-2026, URIBuilder opaque different than java.net.URI ,BUG
27,HTTPCLIENT-2027, Normalize URIBuilder path ,NUG
28,HTTPCLIENT-2028, Restore staleConnectionCheckEnabled=true semantic behavior in validateAfterInactivity config ,NUG
29,HTTPCLIENT-2029, URIBuilder cannot parse non-UTF8 URIs ,BUG
30,HTTPCLIENT-2030, PublicSuffixMatcher::getDomainRoot with expectation fails on invalid domain names. ,BUG
31,HTTPCLIENT-2031, Don't use plural names for enums ,BUG
32,HTTPCLIENT-2032, Sometimes get a broken pipe error in Java 11 when trying to connect with HttpClient ,BUG
33,HTTPCLIENT-2033, Connection manager shutdown flushes output buffer without synchronization ,BUG
34,HTTPCLIENT-2034, Introduce HttpRequestRetryStrategy ,NUG
35,HTTPCLIENT-2035, Remove HttpRequestRetryHandler in favor of HttpRequestRetryStrategy ,NUG
36,HTTPCLIENT-2036, CacheValidityPolicy should use TimeValue ,NUG
37,HTTPCLIENT-2037, AIMDBackoffManager should use TimeValue ,NUG
38,HTTPCLIENT-2038, CacheConfig should use TimeValue ,NUG
39,HTTPCLIENT-2039, Do not close ConnectionManager in case of Errors ,NUG
40,HTTPCLIENT-2040, Headers are not sent when following redirects ,BUG
41,HTTPCLIENT-2041, AuthenticationStrategy#select() assumes challanges key to be lowercase ,BUG
42,HTTPCLIENT-2042, AuthScope uses uppercase for scheme name whereas the rest of the code uses the lowercase version ,BUG
43,HTTPCLIENT-2043, Rename classes documented as factories from *Provider to *Factory. ,NUG
44,HTTPCLIENT-2044, Add and reuse singleton instances for immutable factory objects.  ,NUG
45,HTTPCLIENT-2045, BasicScheme ignores charset param ,BUG
46,HTTPCLIENT-2046, Rename enum AuthSchemes to StandardAuthScheme ,NUG
47,HTTPCLIENT-2047, Regression in default HTTP Client construction for non-public hostnames ,BUG
48,HTTPCLIENT-2048, HttpHost constructor unnecessary Type Casting in HttpComponent version-4.4.11 ,BUG
49,HTTPCLIENT-2049, Apache http client resets connection unexpected ,BUG
50,HTTPCLIENT-2050," Conscrypt fails with ""Socket is closed"" exception with HttpClient 5.0-beta7 ",BUG
51,HTTPCLIENT-2051," RedirectExec always changes HTTP method on 301, 302, 303 ",BUG
52,HTTPCLIENT-2052, RedirectExec tries to follow redirect even if HttpEntity is non-repeatable ,BUG
53,HTTPCLIENT-2053, Add SC_PERMANENT_REDIRECT (308) to DefaultRedirectStrategy ,NUG
54,HTTPCLIENT-2054, SSLPeerUnverifiedException with wildcard ,BUG
55,HTTPCLIENT-2055, Verification of certificates containing wildcard SANs fails for non-public domains ,BUG
56,HTTPCLIENT-2056, BUG with httpclient5 ,BUG
