,ID,SUMMARY,CLASSIFIED
0,JCR-4000, More event stats in EventListenerMBean ,NUG
1,JCR-4001, When using Node.getProperties(String namePattern) also child nodes are processed ,BUG
2,JCR-4002,CSRF in Jackrabbit-Webdav using empty content-type (CVE-2016-6801),BUG
3,JCR-4003,Release Jackrabbit 2.12.3,NUG
4,JCR-4004, Log exception in AbstractDataStore.getReferenceFromIdentifier() ,BUG
5,JCR-4005, TestVFSDataStore.testDeleteRecord() fails occasionally ,BUG
6,JCR-4006, TestCachingFDS.testDeleteRecord() fails occasionally ,BUG
7,JCR-4007, CachingDataStore - touching every time on getRecord() was unnecessary ,BUG
8,JCR-4008, Restore TestCachingFDS.testDeleteRecord() to fix it with disabling AsyncUpload in unit tests ,NUG
9,JCR-4009,CSRF in Jackrabbit-Webdav (CVE-2016-6801),NUG
10,JCR-4010,Release Jackrabbit 2.12.4,NUG
11,JCR-4011, Query - Jackrabbit Support Needed - on reindexing ,BUG
12,JCR-4012, Include initial cost in stats for observation processing ,NUG
13,JCR-4013, Calculate eventConsumerTimeRatio for entire time series ,NUG
14,JCR-4014,Release Jackrabbit 2.10.4,NUG
15,JCR-4015, jackrabbit-jcr-commons JcrUtils.getOrCreateByPath fails if session is not allowed to read root ,BUG
16,JCR-4016, extend path and property filtering of observation event ,NUG
17,JCR-4017, add ignoresInfo flag to JackrabbitEventFilter ,NUG
18,JCR-4018, Consistent Async Upload Executor handling in Backend implementations ,NUG
19,JCR-4019, move httpclient dependency out of parent pom ,NUG
20,JCR-4020,Release Jackrabbit 2.8.3,NUG
21,JCR-4021,Release Jackrabbit 2.6.6,NUG
22,JCR-4022, populate.jsp (standalone) doesn't work due to google ajax api change ,BUG
23,JCR-4023,[S3DS] Configure failure count in initial migration of blobs from file system to S3,BUG
24,JCR-4024,Release Jackrabbit 2.4.6,NUG
25,JCR-4025, Enable animal sniffer plugin ,NUG
26,JCR-4026,BundleBinding uses JDK 6 runtime methods,NUG
27,JCR-4027, NPE in JcrRemotingServlet.canHandle() when content-type is missing ,BUG
28,JCR-4028,Several artifacts of Jackrabbit 2.6.6 are missing in Maven central repository,BUG
29,JCR-4029,Release Jackrabbit 2.6.7,NUG
30,JCR-4030,Allow use of Java 7 in Jackrabbit trunk,NUG
31,JCR-4031, AbstractLocatorFactory: typo in log message ,BUG
32,JCR-4032, Add jmx EventListenerMBean.getToString() for clearer consolidated listener stats ,NUG
33,JCR-4033, Session Leak in case of an exception inside the constructor of SessionImpl ,BUG
34,JCR-4034, Session Leak in case of an exception inside the constructor of SessionImpl ,BUG
35,JCR-4035, consider supporting parentNodeTypes filtering in observation ,NUG
36,JCR-4036, Upgrade to latest lucene-core ,NUG
37,JCR-4037, add includeSubtreeOnDelete flag to JackrabbitEventFilter ,NUG
