,ID,SUMMARY,CLASSIFIED
0,LUCENE-5000, Query serialization using ObjectInput/OutputStream ,BUG
1,LUCENE-5001, Constants.LUCENE_MAIN_VERSION needs updated on 4.3 branch ,NUG
2,LUCENE-5002, Deadlock in DocumentsWriterFlushControl ,BUG
3,LUCENE-5003, ECJ javadoc linting does not work with recent Java 8 ,BUG
4,LUCENE-5004, Improve MockDirectoryWrapper byte size tracking ,NUG
5,LUCENE-5005, Length norm value of DefaultSimilarity for a few terms ,NUG
6,LUCENE-5006, Simplify / understand IndexWriter/DocumentsWriter synchronization ,NUG
7,LUCENE-5007," smokeTestRelease.py should be able to pass cmdline test args to 'ant test', e.g. ""-Dtests.jettyConnector=Socket""; also, ""ant nightly-smoke"" should be able to pass these args to smokeTestRelease.py ",NUG
8,LUCENE-5008, The difference between totalHits and scoreDocs.length of TopDocs ,NUG
9,LUCENE-5009, BTree index ,NUG
10,LUCENE-5010, Getting a Poterstemmer error in Solr ,BUG
11,LUCENE-5011, MemoryIndex and FVH don't play along with multi-value fields ,BUG
12,LUCENE-5012, Make graph-based TokenFilters easier ,NUG
13,LUCENE-5013, ScandinavianFoldingFilterFactory and ScandinavianNormalizationFilterFactory ,NUG
14,LUCENE-5014, ANTLR Lucene query parser ,NUG
15,LUCENE-5015, Unexpected performance difference between SamplingAccumulator and StandardFacetAccumulator ,NUG
16,LUCENE-5016, Sampling can break FacetResult labeling  ,NUG
17,LUCENE-5017, SpatialOpRecursivePrefixTreeTest is failing ,BUG
18,LUCENE-5018, Never update offsets in CompoundWordTokenFilterBase ,NUG
19,LUCENE-5019, SimpleSpanFragmenter can create very long fragments ,NUG
20,LUCENE-5020, Make DrillSidewaysResult ctor public ,NUG
21,LUCENE-5021, NextDoc NPE safety when bulk collecting ,NUG
22,LUCENE-5022, Add FacetResult.mergeHierarchies ,NUG
23,LUCENE-5023, Only reader that contains fields can be added into readerContext ,NUG
24,LUCENE-5024, Can we reliably detect an incomplete first commit vs index corruption? ,NUG
25,LUCENE-5025," Allow more than 2.1B ""tail nodes"" when building FST ",NUG
26,LUCENE-5026, PagedGrowableWriter ,NUG
27,LUCENE-5027, remove DocConsumer.doAfterFlush ,NUG
28,LUCENE-5028, doShare is pointless in PositiveIntOutputs ,NUG
29,LUCENE-5029, factor out a generic 'TermState' for better sharing in FST-based term dict ,NUG
30,LUCENE-5030," FuzzySuggester has to operate FSTs of Unicode-letters, not UTF-8, to work correctly for 1-byte (like English) and multi-byte (non-Latin) letters ",NUG
31,LUCENE-5031, TrecTopicsReader fails to parse fields title and descriptions when content spans over multiple lines ,BUG
32,LUCENE-5032, PostingsHighlighter throws IndexOutOfBounds exception when using multivalued fields and get to maxLength ,BUG
33,LUCENE-5033, SlowFuzzyQuery appears to fail with edit distance >=3 in some cases ,BUG
34,LUCENE-5034, Make AppendingLongBuffer's page size configurable ,NUG
35,LUCENE-5035, FieldCacheImpl.SortedDocValuesImpl should compress addresses to term bytes more efficiently ,NUG
36,LUCENE-5036, Cleanup StoredFieldsProcessor & TermVectorsConsumer ,NUG
37,LUCENE-5037, HttpReplicatorTest.testBasic fails often in jenkins on OS X with java 1.6 ,BUG
38,LUCENE-5038, Don't call MergePolicy / IndexWriter during DWPT Flush ,NUG
39,LUCENE-5039, Refactor DWPT to pass testPoint to infostream ,NUG
40,LUCENE-5040, wasted work in Lucene40TermVectorsWriter.finishTerm() ,NUG
41,LUCENE-5041, wasted work in CheckIndex.checkIndex(List) ,NUG
42,LUCENE-5042, Improve NGramTokenizer ,NUG
43,LUCENE-5043, Eclipse project name change - autogenerated ,NUG
44,LUCENE-5044, wasted work in AllGroupHeadsCollectorTest.arrayContains() ,NUG
45,LUCENE-5045, DrillSideways.search yields IllegalArgEx if given IndexReader is empty ,BUG
46,LUCENE-5046, Explore preset dictionaries for CompressingStoredFieldsFormat ,NUG
47,LUCENE-5047, Trunk's NIOFSDir and MMapDir throw different Exception on file not found cases because of use of FileChannel.open() ,BUG
48,LUCENE-5048, NegativeArraySizeException caused by  ff.addFields ,BUG
49,LUCENE-5049," Native (C++) implementation of ""pure OR"" BooleanQuery ",NUG
50,LUCENE-5050, CompressingStoredFieldsReader should close the index file as soon as it has been read ,NUG
51,LUCENE-5051, Incorrect abbreviation synonyms treating in WordDelimiterFilter ,BUG
52,LUCENE-5052, bitset codec for off heap filters ,NUG
53,LUCENE-5053, Expose PagedGrowableWriter memory usage ,NUG
54,LUCENE-5054, Rename CharacterUtils impls Java5 vs Unicode5 ,NUG
55,LUCENE-5055," rat-sources target is missing build and ivy xml files, also resources folders ",BUG
56,LUCENE-5056, Indexing non-point shapes close to the poles doesn't scale ,BUG
57,LUCENE-5057, Hunspell stemmer generates multiple tokens ,BUG
58,LUCENE-5058, IOException when trying to delete data from index ,BUG
59,LUCENE-5059, Report -Dtests.method properly when Repeat annotation is used (strip augmentations) ,NUG
60,LUCENE-5060," Add License headers to resources folders (stopwords,...) ",NUG
61,LUCENE-5061, Add license headers to prettify.js files ,NUG
62,LUCENE-5062, Spatial CONTAINS is sometimes incorrect for overlapped indexed shapes ,BUG
63,LUCENE-5063, Allow GrowableWriter to store negative values ,NUG
64,LUCENE-5064, Add PagedMutable ,NUG
65,LUCENE-5065, Refactor TestGrouping.java to break TestRandom into separate tests ,NUG
66,LUCENE-5066, TestFieldsReader fails in 4.x with OOM ,BUG
67,LUCENE-5067, add a BaseDirectoryTestCase ,NUG
68,LUCENE-5068, QueryParserUtil.escape() does not escape forward slash ,BUG
69,LUCENE-5069, Can/should we store NumericField's precisionStep in the index? ,NUG
70,LUCENE-5070, NumericTermAttributeImpl should implement equals ,NUG
71,LUCENE-5071, problem with Direct IO seek() leading to EOFException ,BUG
72,LUCENE-5072, Fix frame injection bug in javadocs generated with Java 6 (and Java 7 prior u25) ,NUG
73,LUCENE-5073, Setting position and offset gaps in IndexableField ,NUG
74,LUCENE-5074, Support open-ended NumericRangeQuery in XmlQueryParser ,NUG
75,LUCENE-5075, Wasted work in FailTwiceDuringMerge.eval() ,NUG
76,LUCENE-5076, Incorrect behavior for TestLaoBreakIterator.isWord() ,BUG
77,LUCENE-5077, make it easier to use compressed norms ,NUG
78,LUCENE-5078, Allow TfIdfSimilarity implementations to encode norm values into more than a single byte ,NUG
79,LUCENE-5079, allow IndexWriter user to tell if there are uncommitted changes. ,NUG
80,LUCENE-5080, CMS setters cannot work unless you setMaxMergeCount before you setMaxThreadCount ,BUG
82,LUCENE-5082," For SolrQueryParserBase.getPrefixQuery(String field, String termStr), use BytesRef from calling FieldType.readableToIndexed for Term ",NUG
83,LUCENE-5083, Wasted work in FuzzySet.getNearestSetSize ,NUG
85,LUCENE-5085, MorfologikFilter shoudn't stem words marked as keyword ,BUG
86,LUCENE-5086, RamUsageEstimator causes AWT classes to be loaded by calling ManagementFactory#getPlatformMBeanServer ,BUG
87,LUCENE-5087, add PostingsHighlighter.getGapSeparator ,NUG
88,LUCENE-5088, Add term filter ,NUG
89,LUCENE-5089, Update morfologik (polish stemmer) to 1.6.0 ,NUG
90,LUCENE-5090, SSDVA should detect a mismatch in the SSDVReaderState ,NUG
91,LUCENE-5091, Modify SpanNotQuery to act as SpanNotNearQuery too ,NUG
92,LUCENE-5092, join: don't expect all filters to be FixedBitSet instances ,NUG
93,LUCENE-5093, nightly-smoke should run some fail fast checks before doing the full smoke tester ,NUG
94,LUCENE-5094, add a ramBytesUsed to OrdinalMap ,NUG
95,LUCENE-5095, Add useful toString()s to DocValues impls ,NUG
96,LUCENE-5096," WhitespaceTokenizer supports Java whitespace, should also support Unicode whitespace ",NUG
97,LUCENE-5097," Add utility method to Analyzer: public final TokenStream tokenStream(String fieldName,String text) ",NUG
98,LUCENE-5098, Broadword bit selection ,NUG
99,LUCENE-5099, QueryNode should have the ability to detach from its node parent ,NUG
101,LUCENE-5101, make it easier to plugin different bitset implementations to CachingWrapperFilter ,NUG
102,LUCENE-5102, move DocIdBitSet from lucene-core to lucene-test-framework ,NUG
103,LUCENE-5103, join on single-valued field with deleted docs scores too few docs ,BUG
104,LUCENE-5104, poll-mirrors.pl needs fixed ,NUG
105,LUCENE-5105, IndexOptions.DOCS_AND_FREQS_AND_POSITIONS_AND_OFFSETS has no effect ,BUG
107,LUCENE-5107, Convert all Properties#store() and load() to use UTF-8 charset ,NUG
108,LUCENE-5108, poll-mirrors.pl should let you check multiple paths on each mirror ,NUG
110,LUCENE-5110, DefaultICUTokenizerConfig should use the default ICU behavior for the Khmer script ,NUG
111,LUCENE-5111, Fix WordDelimiterFilter ,NUG
112,LUCENE-5112, FilteringTokenFilter is double incrementing the position increment in incrementToken ,BUG
113,LUCENE-5113, Allow for packing the pending values of our AppendingLongBuffers ,NUG
114,LUCENE-5114, remove boolean useCache param from TermsEnum.seekCeil/Exact ,NUG
115,LUCENE-5115, Make WAH8DocIdSet compute its cardinality at building time and use it for cost() ,NUG
116,LUCENE-5116, IW.addIndexes doesn't prune all deleted segments ,BUG
117,LUCENE-5117, DISI.iterator() should never return null. ,NUG
118,LUCENE-5118, spatial strategy- add multiplier to makeDistanceValueSource() ,NUG
119,LUCENE-5119, DiskDV SortedDocValues shouldnt hold doc-to-ord in heap memory ,NUG
120,LUCENE-5120, AnalyzingSuggester might modify it's FST's cached root arc if payloads are used ,NUG
121,LUCENE-5121, 4.4 RC0 can not read indexes created with 4.2.1 using Disk based docvals ,BUG
122,LUCENE-5122, DiskDV probably shouldnt use BlockPackedReader for SortedDV doc-to-ord ,BUG
123,LUCENE-5123, invert the codec postings API ,NUG
124,LUCENE-5124, fix+document+rename DiskDV to Lucene45 ,NUG
125,LUCENE-5125, Codec classes/packages that do not provide (automatic) file format back compat need to be more explicit about this in javadocs ,NUG
126,LUCENE-5126, Codec classes/packages that do not provide (automatic) file format back should throw an explicit exception ,NUG
127,LUCENE-5127, FixedGapTermsIndex should use monotonic compression ,NUG
128,LUCENE-5128, Calling IndexSearcher.searchAfter beyond the number of stored documents causes ArrayIndexOutOfBoundsException ,BUG
129,LUCENE-5129, CategoryAssociationsContainer should not allow null associations ,NUG
130,LUCENE-5130, fail the build on compilation warnings ,BUG
131,LUCENE-5131, CheckIndex is confusing for docvalues fields ,BUG
132,LUCENE-5132, Spatial RPT CONTAINS predicate will fail with NPE when there's no indexed data ,NUG
133,LUCENE-5133, AnalyzingInfixSuggester should return structured highlighted results instead of single String per result ,NUG
134,LUCENE-5134," Consider implementing ""lookback"" merge policy ",NUG
135,LUCENE-5135, Consider time-based MergeScheduler ,NUG
136,LUCENE-5136, Improve FacetRequest javadocs ,NUG
137,LUCENE-5137, UAX29URLEmailTokenizer.java causes NullPointerException in 4.3 and 4.4 ,BUG
138,LUCENE-5138, Update source file attributes ,NUG
139,LUCENE-5139, ArrayIndexOutOfBoundsException in FacetsAccumulator.accumulate while indexing ,BUG
140,LUCENE-5140, Slowdown of the span queries caused by LUCENE-4946 ,BUG
141,LUCENE-5141, CheckIndex.fixIndex doesn't need a Codec ,NUG
142,LUCENE-5142, Lucene's Facet UserGuide HTML file is out of date ,NUG
143,LUCENE-5143," rm or formalize dealing with ""general"" KEYS files in our dist dir ",NUG
144,LUCENE-5144, Nuke FacetRequest.createAggregator ,NUG
145,LUCENE-5145, Added AppendingPackedLongBuffer & extended AbstractAppendingLongBuffer family (customizable compression ratio + bulk retrieval) ,NUG
146,LUCENE-5146, AnalyzingSuggester sort order doesn't respect the actual weight ,BUG
147,LUCENE-5147," Consider returning a Map<FacetRequest,FacetResult> from FacetsAccumulator ",NUG
148,LUCENE-5148, SortedSetDocValues caching / state ,NUG
149,LUCENE-5149, CommonTermsQuery should allow minNrShouldMatch for high & low freq terms ,NUG
150,LUCENE-5150, WAH8DocIdSet: dense sets compression ,NUG
151,LUCENE-5151, Associations aggregators enter an infinite loop if some documents have no category associations ,BUG
152,LUCENE-5152, Lucene FST is not immutable ,BUG
153,LUCENE-5153, Allow wrapping Reader from AnalyzerWrapper ,NUG
154,LUCENE-5154, ban tests from writing to CWD ,NUG
155,LUCENE-5155, Add OrdinalValueResolver in favor of FacetRequest.getValueOf ,NUG
156,LUCENE-5156, CompressingTermVectors termsEnum should probably not support seek-by-ord ,NUG
157,LUCENE-5157, Refactoring MultiDocValues.OrdinalMap to clarify API and internal structure. ,NUG
158,LUCENE-5158, Allow StoredFieldVisitor instances to be stateful ,NUG
159,LUCENE-5159, compressed diskdv sorted/sortedset termdictionaries ,NUG
160,LUCENE-5160," NIOFSDirectory, SimpleFSDirectory (others?) don't properly handle valid file and FileChannel read conditions ",BUG
161,LUCENE-5161, review FSDirectory chunking defaults and test the chunking ,NUG
162,LUCENE-5162, TestBlockJoinSorting.testNestedSorting asset fails  ,BUG
163,LUCENE-5163, Document fileformat of DiskDV. ,NUG
164,LUCENE-5164, Remove the OOM catching in SimpleFSDirectory and NIOFSDirectory ,NUG
165,LUCENE-5165, Add SuggestStopFilter ,NUG
166,LUCENE-5166, PostingsHighlighter fails with IndexOutOfBoundsException ,BUG
167,LUCENE-5167, SimilarityBase does not pass docId in the score method for use of FieldCache or DocValues ,BUG
168,LUCENE-5168, ByteSliceReader assert trips with 32-bit oracle 1.7.0_25 + G1GC ,BUG
169,LUCENE-5169, UniDic 2.1.2 support for Japanese Tokenizer (Kuromoji) ,NUG
170,LUCENE-5170," Add getter for reuse strategy to Analyzer, make AnalyzerWrapper's reuse strategy configureable, fix strategy to be stateless ",NUG
171,LUCENE-5171, AnalyzingSuggester and FuzzySuggester should be able to share same FST ,NUG
172,LUCENE-5172, FuzzySuggester should boost terms with minimal Levenshtein Distance ,NUG
173,LUCENE-5173, Add checkindex piece of LUCENE-5116 ,NUG
174,LUCENE-5174, On disk FST objects ,NUG
175,LUCENE-5175, Add parameter to lower-bound TF normalization for BM25 (for long documents) ,NUG
176,LUCENE-5176, remove _TestUtil.keepFullyDeletedSegments ,NUG
177,LUCENE-5177, remove fieldcache weakmap or at least see what relies on GC for purging today ,NUG
178,LUCENE-5178, doc values should expose missing values (or allow configurable defaults) ,NUG
179,LUCENE-5179, Refactoring on PostingsWriterBase for delta-encoding ,NUG
180,LUCENE-5180, ShingleFilter should make shingles from trailing holes ,NUG
181,LUCENE-5181, Passage knows its own docID ,NUG
182,LUCENE-5182, FVH can end in very very long running recursion on phrase highlight ,BUG
183,LUCENE-5183, BinaryDocValues inconsistencies ,BUG
184,LUCENE-5184, CountFacetRequest does not seem to sum the totals of the subResult values. ,BUG
185,LUCENE-5185, licenses/*.jar.sha1 don't belong in Lucene and Solr binary distributions ,NUG
186,LUCENE-5186, Add CachingWrapperFilter.getFilter() ,NUG
187,LUCENE-5187, Make SlowCompositeReaderWrapper constructor private ,NUG
188,LUCENE-5188, Make CompressingStoredFieldsFormat more friendly to StoredFieldVisitors ,NUG
189,LUCENE-5189, Numeric DocValues Updates ,NUG
190,LUCENE-5190, Consistent failure of TestCheckIndex.testLuceneConstantVersion in jenkins trunk clover build ,BUG
191,LUCENE-5191, SimpleHTMLEncoder in Highlighter module breaks Unicode outside BMP ,BUG
192,LUCENE-5192, FieldInfos.Builder failed to catch adding field with different DV type under some circumstances ,BUG
193,LUCENE-5193, Add jar-src to build.xml ,NUG
194,LUCENE-5194, TestBackwardsCompatibility should not test Pulsing41 ,BUG
195,LUCENE-5195," 2013-08-30 02:00:01,062 [pool-24-thread-1] ERROR [org.apache.solr.handler.ReplicationHandler] - SnapPull failed  ",BUG
196,LUCENE-5196, Revive LTC.PREFLEX_IMPERSONATION_IS_ACTIVE ,NUG
197,LUCENE-5197, Add a method to SegmentReader to get the current index heap memory size ,NUG
198,LUCENE-5198," Strengthen the function of Min should match, making it select BooleanClause as Occur.MUST according to the weight of query ",NUG
199,LUCENE-5199, Improve LuceneTestCase.defaultCodecSupportsDocsWithField to check the actual DocValuesFormat used per-field ,NUG
200,LUCENE-5200, HighFreqTerms has confusing behavior with -t option ,BUG
201,LUCENE-5201, Compression issue on highly compressible inputs with LZ4.compressHC ,BUG
202,LUCENE-5202, LookaheadTokenFilter consumes an extra token in nextToken ,BUG
203,LUCENE-5203, WordDelimiterFilter stemEnglishPossessive option does not work for Tokens ending with a digit ,BUG
204,LUCENE-5204, Make Directory easier to wrap ,NUG
205,LUCENE-5205," SpanQueryParser with recursion, analysis and syntax very similar to classic QueryParser ",NUG
206,LUCENE-5206, FuzzyQuery: matching terms must be longer than maxEdits ,BUG
207,LUCENE-5207, lucene expressions module ,NUG
208,LUCENE-5208, SnowballFilter to support minTokenLength ,NUG
209,LUCENE-5209, Allow the license checker to optionally avoid check sum comparisons on SNAPSHOT dependencies. ,NUG
210,LUCENE-5210, Unit tests for LicenseCheckTask. ,NUG
211,LUCENE-5211," StopFilterFactory docs do not advertise/explain hte ""format"" option ",BUG
212,LUCENE-5212, java 7u40 causes sigsegv and corrupt term vectors ,BUG
213,LUCENE-5213, Use <groovy/> instead <script/> ant task ,NUG
214,LUCENE-5214," Add new FreeTextSuggester, to handle ""long tail"" suggestions ",NUG
215,LUCENE-5215, Add support for FieldInfos generation ,NUG
216,LUCENE-5216, Fix SegmentInfo.attributes when updates are involved ,NUG
217,LUCENE-5217, disable transitive dependencies in maven config ,NUG
218,LUCENE-5218, background merge hit exception && Caused by: java.lang.ArrayIndexOutOfBoundsException ,BUG
219,LUCENE-5219, Make SynonymFilterFactory format attribute pluggable ,NUG
220,LUCENE-5220, Expression SortField has crappy toString/bad equals/hashcode ,BUG
221,LUCENE-5221, SimilarityBase.computeNorm is inconsistent with TFIDFSimilarity ,BUG
222,LUCENE-5222, TestExpressionSorts fails sometimes when using expression returning score ,BUG
223,LUCENE-5223," IndexUpgrader (4.4.0) fails when -verbose is not set, or when any value of -dir-impl is specified ",BUG
224,LUCENE-5224, org.apache.lucene.analysis.hunspell.HunspellDictionary should implement ICONV and OCONV lines in the affix file ,BUG
225,LUCENE-5225, ToParentBlockJoinQuery don't accumulate the child doc ids and scores if ToParentBlockJoinCollector is not used ,BUG
226,LUCENE-5226, optimize sortfield.needsScore on expressions ,NUG
227,LUCENE-5227, consider unifying stopwords formats for 5.0 ,NUG
228,LUCENE-5228, IndexWriter.addIndexes copies raw files but acquires no locks ,BUG
229,LUCENE-5229, remove Collector specializations ,NUG
230,LUCENE-5230, CJKAnalyzer java.lang.NullPointerException ,BUG
231,LUCENE-5231, better interoperability of expressions/ with valuesource ,NUG
232,LUCENE-5232," Remove doMaxScore from indexsearcher, collector specializations, etc ",NUG
233,LUCENE-5233, we should change the suggested search in the demo docs because the lucene code base is full of swear words ,NUG
234,LUCENE-5234, Clarify FieldCache API around the use of NumericDocValues fields ,NUG
235,LUCENE-5235, throw illegalstate from Tokenizer (instead of NPE/IIOBE) if reset not called ,NUG
236,LUCENE-5236, Use broadword bit selection in EliasFanoDecoder ,NUG
237,LUCENE-5237, StemmerUtil.deleteN may delete too many characters ,BUG
238,LUCENE-5238, Fix junitcompat tests (so that they're not triggered when previous errors occur) ,NUG
239,LUCENE-5239, Scary TestSearcherManager failure ,BUG
240,LUCENE-5240, additional safety in Tokenizer state machine ,NUG
241,LUCENE-5241," Hotspot crash, SIGSEGV with Java 1.6u45 ",BUG
242,LUCENE-5242, DirectoryTaxonomyWriter.replaceTaxonomy did not fully reset its state ,BUG
243,LUCENE-5243, Update Clover ,NUG
244,LUCENE-5244, NPE in Japanese Analyzer ,BUG
245,LUCENE-5245, ConstantScoreAutoRewrite rewrites prefix queryies that don't match anything before query weight is calculated ,BUG
246,LUCENE-5246, SegmentInfoPerCommit continues to list unneeded updatesFiles ,BUG
247,LUCENE-5247, expressions should use DoubleDocValues not FunctionValues directly ,BUG
248,LUCENE-5248, Improve the data structure used in ReaderAndLiveDocs to hold the updates ,NUG
249,LUCENE-5249, All Lucene/Solr modules should use the same dependency versions ,NUG
250,LUCENE-5250, Provide API to open IR on a specific IndexCommit with ReaderManager ,NUG
251,LUCENE-5251, New Dictionary Implementation for Suggester consumption ,NUG
252,LUCENE-5252, add NGramSynonymTokenizer ,NUG
253,LUCENE-5253, add NGramSynonymTokenizer ,NUG
254,LUCENE-5254," SegmentCoreReader's ""owner"" reference back to the first SegmentReader causes leaks ",BUG
255,LUCENE-5255, Make DocumentsWriter reference final in IW ,NUG
256,LUCENE-5256, IndexFormatTooNewException using Lucene 4.4 after optimize ,BUG
257,LUCENE-5257, Lock down centralized versioning of ivy dependencies ,NUG
