,ID,SUMMARY
0,HTTPCLIENT-569, HttpState.clearCookies() should be synchronized 
1,HTTPCLIENT-386, Catch SocketTimeoutException not InterruptedIOException 
2,HTTPCLIENT-302, exception during writeRequest leaves the connection un-released 
3,HTTPCLIENT-104, Incorrect debug message in HttpMethodBase 
4,HTTPCLIENT-85, Host request header does not contain port 
5,HTTPCLIENT-196, httpClient failed to reconnect after keep-alive connection timed out 
6,HTTPCLIENT-697, Http Client give sme message when proxy/http endpoint is down 
7,HTTPCLIENT-477, There is no way to specify a different auth scheme priority for host and proxy 
8,HTTPCLIENT-1054, HTTPClient per default relentlessly spams to stderr 
9,HTTPCLIENT-1030," Implement ""ignoreCookies"" CookieSpec "
10,HTTPCLIENT-553, JavaDoc getConnection methods in Connection Managers 
11,HTTPCLIENT-30, should allow receiving secure cookies from non-secure chanel 
12,HTTPCLIENT-452, DateUtil.formatDate() uses default timezone instead of GMT 
13,HTTPCLIENT-824, Review the use of BaiscHttpParams and HttpProtocolProcessor in HttpClient 
14,HTTPCLIENT-286, Manually set 'Cookie' & 'Authorization' headers get discarded 
15,HTTPCLIENT-323, GetMethod.getResponseBodyAsStream() .available() could return content-length 
16,HTTPCLIENT-960, HttpMultipart doesn't generate Content-Type part header in mode BROWSER_COMPATIBLE 
17,HTTPCLIENT-813, HttpClient throws NPE on Invalid Port when used with MultiThreadedHttpConnectionManager 
18,HTTPCLIENT-71, Add support for Digest authentication to the Authenticator class 
19,HTTPCLIENT-530, Findbugs reports and fixes 
20,HTTPCLIENT-317, HTTP Client doesn't support multipart/related content-type 
21,HTTPCLIENT-852," CircularRedirectException encountered when using a proxy, but not when reaching the target directly "
22,HTTPCLIENT-667, Provide BestMatch cookie policy 
23,HTTPCLIENT-501, Minor RFC 2109 / 2965 violation 
24,HTTPCLIENT-609, Use TRACE logging instead of DEBUG for the absolute nitty-gritties 
25,HTTPCLIENT-926, Add Amazon S3 authentication support 
26,HTTPCLIENT-46, Plug-in authentication modules 
27,HTTPCLIENT-1027, Some typos in the English Manual 
28,HTTPCLIENT-965, cache does not honor must-revalidate or proxy-revalidate Cache-Control directives 
29,HTTPCLIENT-404, SO_TIMEOUT parameter on the method level has no effect 
30,HTTPCLIENT-384, 3.0 not compile-time compatible with 2.0 library usage 
31,HTTPCLIENT-972, caching module should use HttpParams-style configuration 
32,HTTPCLIENT-1026, Properly close resources 
33,HTTPCLIENT-165, '100-continue' response times out unexpectedly 
34,HTTPCLIENT-440, Exception in HttpConnection because of unchecked buffer size 
35,HTTPCLIENT-510, User-defined ProtocolSocketFactory for secure connection through proxy 
36,HTTPCLIENT-985, cache module should populate Via header to capture upstream and downstream protocols 
37,HTTPCLIENT-1034," Add link to ""Benchmarking the HttpClient Caching Module"" article from Comcast Interactive Media "
38,HTTPCLIENT-163, HttpClient does not compile 'out of the box' in IBM's VisualAge IDE 
39,HTTPCLIENT-574, Subclasses do not have write access to StatusLine 
40,HTTPCLIENT-705, Handle URIs with path component null 
41,HTTPCLIENT-738, HostnameVerifier shouldn't shadow simple name of implemented interface 
42,HTTPCLIENT-99, Requests are retried 3 times unconditionaly 
43,HTTPCLIENT-1142, Infinite loop on NTLM authentication 
44,HTTPCLIENT-1097, BrowserCompatHostnameVerifier and StrictHostnameVerifier should handle wildcards in SSL certificates better 
45,HTTPCLIENT-552, Add shutdown method to SimpleHttpConnectionManager 
46,HTTPCLIENT-758, Wrong method signatures in AbstractHttpClient 
47,HTTPCLIENT-26, need a way to set request body in PostMethod 
48,HTTPCLIENT-1100, Missing Content-Length header makes cached entry invalid 
49,HTTPCLIENT-675, thread starving in MultiThreadedHttpConnectionManager 
50,HTTPCLIENT-614, allow different strategies when checking CN of x509 cert 
51,HTTPCLIENT-713, remove RoutedRequest from ClientRequestDirector interface 
52,HTTPCLIENT-298, javadoc often has <code> without </code> 
53,HTTPCLIENT-494, Invalid redirects are not corrected 
54,HTTPCLIENT-806, ConnectException not handled in DefaultHttpMethodRetryHandler 
55,HTTPCLIENT-1177, HttpClient treats URI fragments in redirect URIs incosistently 
56,HTTPCLIENT-506, Digest auth uses wrong uri in proxy authentication 
57,HTTPCLIENT-1182, Add a constructor to org.apache.http.conn.ssl.SSLSocketFactory to allow for directly wrapping a javax.net.ssl.SSLSocketFactory socketfactory 
58,HTTPCLIENT-444, Preemptive authentication causes NTLM auth scheme to fail 
59,HTTPCLIENT-657, TestBasicCookieAttribHandlers fails on non-english Locale systems 
60,HTTPCLIENT-41, New method to add an array of parameters to PostMethod 
61,HTTPCLIENT-1057, wrong class name in statemgmt.xml 
62,HTTPCLIENT-998, cache should use both Last-Modified and ETag for validations when available 
63,HTTPCLIENT-869, Incorrect/incomplete product name in META-INF/NOTICE file 
64,HTTPCLIENT-772, typo in RFC reference in web site 
65,HTTPCLIENT-526, warn on invalid set-cookie header 
66,HTTPCLIENT-342, [API Doc] Improve the description of the preemptive authentication 
67,HTTPCLIENT-261, infinite loop on 302 redirect with different host in Location: header 
68,HTTPCLIENT-1066, HTTPClient 4.1 auto slash removal 
69,HTTPCLIENT-769, java.lang.IllegalStateException: Connection already open. 
70,HTTPCLIENT-1016, Adding a custom location header extractor method for RedirectStrategy. 
71,HTTPCLIENT-689, stackable parameters 
72,HTTPCLIENT-903, Use ConcurrentHashMap instead of HashMap wherever thread-safe access is needed 
73,HTTPCLIENT-711, bad route computed for redirected requests 
74,HTTPCLIENT-659, DateUtils should cache SimpleDateFormat 
75,HTTPCLIENT-944, In case of SocketTimeoutException and using HttpRequestRetryHandler the execution is always +1 
76,HTTPCLIENT-1158, Change the error message in the exception at URIUtils#rewriteURI  
77,HTTPCLIENT-227, Missing Content-Length header causes a SocketException 
78,HTTPCLIENT-729, move HttpRoute and related classes to separate package 
79,HTTPCLIENT-914, Use Apache Codec 1.4 
80,HTTPCLIENT-399," Connection not closed after ""Connection: close"" request "
81,HTTPCLIENT-390, SSL + proxy + Host auth + Keep Alive off causes an infinite loop in HttpMethodDirector 
82,HTTPCLIENT-674, use VersionInfo of core 
83,HTTPCLIENT-413, Cookie with domain .mydomain.com not sent to host mydomain.com 
84,HTTPCLIENT-672, re-sync client with changes in core alpha6 snapshot 
85,HTTPCLIENT-505, cipher 
86,HTTPCLIENT-464," An HTTP ""204 NO CONTENT"" response results in dropped connection "
87,HTTPCLIENT-1139, NTLM Authentication No Longer Working In Latest Release 
88,HTTPCLIENT-243, Transfer-Encoding: identity not supported + possible patch 
89,HTTPCLIENT-595, Fix junit scope in maven pom 
90,HTTPCLIENT-822, HttpClient throws java.net.SocketException instead of org.apache.http.conn.ConnectionTimeoutException when connection timeout occurs 
91,HTTPCLIENT-5, Cookie.parse exception when parsing expiry date in single quotes 
92,HTTPCLIENT-478, HttpConnectionParams.setConnectionTimeout(int) has no effect if host unreachable 
93,HTTPCLIENT-107, HttpMethodBase: Port mismatch in URL for redirect to absolute location 
94,HTTPCLIENT-280, Freezes w/ MultiThreadedHttpConnectionManager 
95,HTTPCLIENT-347, MultiThreadedConnectionManager Accounting Problems 
96,HTTPCLIENT-755, Use of java.net.URI.resolve() is buggy 
97,HTTPCLIENT-1154, org.apache.http.impl.client.cache.memcached.MemcachedHttpCacheStorage should allow client to specify custom prefix string for keys 
98,HTTPCLIENT-582, Allow access to registered cookie policies 
99,HTTPCLIENT-653, connection wrapper prevents GC of TSCCM 
100,HTTPCLIENT-166, waitForResponse is using busy wait 
101,HTTPCLIENT-484, Fold AuthSSLProtocolSocketFactory into HttpClient proper 
102,HTTPCLIENT-226, HttpMethod#getResponseBody throws NPE 
103,HTTPCLIENT-775, download section of website down 
104,HTTPCLIENT-48, User interaction for authentication 
105,HTTPCLIENT-245, customize handling of 302 redirects 
106,HTTPCLIENT-815, Quick Start guide for HttpClient 4.0 
107,HTTPCLIENT-1056, Wrong creation of AuthScope object 
108,HTTPCLIENT-309, [RFE] Allow streaming of POST methods via chunked transfer encoding. 
109,HTTPCLIENT-1157, MemcachedHttpCacheStorage should throw IOExceptions instead of Runtime Exceptions 
110,HTTPCLIENT-725, TSCCM code cleanup 
111,HTTPCLIENT-344, HttpConnection.isOpen() logging is not accurate 
112,HTTPCLIENT-989, DefaultHttpRequestRetryHandler must not retry non-idempotent http methods (violates RFC 2616) 
113,HTTPCLIENT-1147," When HttpClient-Cache cannot open cache file, should act like miss "
114,HTTPCLIENT-715, remove RoutedRequest from API 
115,HTTPCLIENT-242, Add InputStream buffering. 
116,HTTPCLIENT-365, StatusLine IndexOutOfBounds 
117,HTTPCLIENT-1069, HttpClient 4.1 ignores request retry handler and stops retrying when a read timeout is followed by a connection refusal 
118,HTTPCLIENT-1044," DefaultHttpRequestRetryHandler is not handling PUT as an idempotent method for retries, though RFC2616 section 9.1.2 clearly defines it to be one. "
119,HTTPCLIENT-773, Parsing expires 
120,HTTPCLIENT-906, Minor performance improvement to IdleConnectionHandler 
121,HTTPCLIENT-463," Occasional ""Host connection pool not found"" "
122,HTTPCLIENT-108, Cookie.java: 'bookean' typo 
123,HTTPCLIENT-765, String.toLowerCase() / toUpperCase() should specify Locale.ENGLISH 
