,ID,SUMMARY
0,JCR-1881, RTF text extractor fails on Java 1.4 in some environments 
1,JCR-611, Setup nightly builds for Jackrabbit 
2,JCR-2216, Append-only index updates 
3,JCR-3112, NodeTypeDefDiff.PropDefDiff.init() constraints change check bugs 
4,JCR-1663, REFERENCE properties produce duplicate strings in memory 
5,JCR-1466, ConfigurationException constructors are package private 
6,JCR-1400, Backport JCR-940: add db connection autoConnect for BundleDbPersistenceManager 
7,JCR-1004, SPI: Add RepositoryService.getQNodeTypeDefinition 
8,JCR-1615, WebDAV: drop dependency on commons-collections 
9,JCR-1766, Bundle binding deserialization problem 
10,JCR-14, {XML|Object}PersistenceManager.destroy(*) may fail 
11,JCR-152, FAQ document 
12,JCR-3000, SQL2 Join with OR clause still has some issues 
13,JCR-1300, spi2dav Improve performance for large binary properties 
14,JCR-2850, RMI problems prevent proper startup of the Jackrabbit webapp 
15,JCR-1997," Performance fix, when deserializing large jcr:binary in ValueHelper.deserialize() "
16,JCR-1694, System properties does not get replaced in a Cluster configuration 
17,JCR-2880, Save fails after setting a binary property twice 
18,JCR-2588, UserManager.getAuthorizable() may fail with InvalidQueryException 
19,JCR-1042, Disable norms for untokenized fields to reduce memory consumption 
20,JCR-981," XPath relative path support missing for ""is null"" and ""is not null"" "
21,JCR-3090, setFetchSize() fails in getAllNodeIds() 
22,JCR-1065, Workspace{Copy|Move}VersionableTest assumptions on versioning 
23,JCR-31, sysview import cannot handle auto-created nodes 
24,JCR-619, CacheManager (Memory Management in Jackrabbit) 
25,JCR-1684, SPI sandbox: use tests-jars introduced with JCR-1629 and JCR-1683 
26,JCR-572, Referenced derby library behaves buggy on FreeBSD 
27,JCR-707, Range queries fail on large repositories 
28,JCR-450, Memory leak in UUIDDocId 
29,JCR-262," In AbstractImportXmlTest, a bug in getUnusedUri() causes URI length to grow too quickly, causing test to fail when using ORM-PM "
30,JCR-2139, Registering NodeType with defaultvalues fails with IndexOutOfBounds 
31,JCR-947, XMLReader logs fatal error to system out 
32,JCR-2659, Fails to remove a previously assigned mixin 
33,JCR-3189, JCARepositoryManager.createNonTransientRepository throws NPE with no JCAManagedConnectionFactory.CONFIGFILE_KEY 
34,JCR-1593, JSR 283: Simple versioning 
35,JCR-817, TCK vs available property types 
36,JCR-212, decorator enhancements 
37,JCR-2656, Embedded Derby fails under JBoss because of JMX-related conflicts 
38,JCR-852, Change Log-Level in DefaultIOListener 
39,JCR-2378, Avoid exceptions thrown in finalize handler of RepositoryImpl constructor 
40,JCR-612, Restructure the Jackrabbit source tree 
41,JCR-1601, Occasional NullPointerException in ItemManager 
42,JCR-2854, Add option to make sorting in user/group query case insensitive 
43,JCR-2741, Improved logging for session operations 
44,JCR-1859, BeanLazyLoader is not Serializable 
45,JCR-2737, have jackrabbit-core produce a test jar 
46,JCR-452, Workspace.clone throws ItemNotFoundException on a referenceable node with children 
47,JCR-2340, CacheBehaviour Observation broken 
48,JCR-491, TCK: PredefinedNodeTypeTest does not allow additions to the predefined node types hierarchy 
49,JCR-1326, Log path of missing node when re-indexing fails 
50,JCR-1486, Introduce Timer idle time 
51,JCR-1966, [PATCH] Remove Stutter in NodeState 
52,JCR-2917, Indexing configuration ignored when indexing length 
53,JCR-2580, NullPointerException when using ancestor axis in indexing configuration 
54,JCR-1157, Expose namespace registry via workspace instead via session in spi2jcr 
55,JCR-2663, JCR unit tests use invalid queries 
56,JCR-405, PROPPATCH doesn't respect document order 
57,JCR-1198, Issue while loading list of classes at that path itself. 
58,JCR-1537, ClassDescriptor.hasIdField() fails if id is declared in upper class 
59,JCR-1730, Background text extraction not possible when supportHighlighting is set true 
60,JCR-329, NodeReferencesId.equals() is not symetric 
61,JCR-3117, Stats for the PersistenceManager 
62,JCR-2906, Multivalued property sorted by last/random value 
63,JCR-102, how-to deployment models 
64,JCR-2219, Improved background text extraction 
65,JCR-1132, XSLT pretty-printer for JCR document view export files 
66,JCR-114, Suggestion regarding NodeImpl and PropertyImpl in jackrabbit.core 
67,JCR-1849, JSR 283: EventJournal 
68,JCR-2956, SQL2: Implement LIKE support for node names 
69,JCR-2283, Incorrect CND for mix:etag 
70,JCR-3140, Add configurable hook for password validation 
71,JCR-2634, weird error when adding a node using an abstract/mixin nodetype 
72,JCR-2589, WebDav MKCOL on a directory that already exists generates a IllegalStateException 
73,JCR-168, Observation events are not triggered for intermediate nodes in version storage 
74,JCR-2517, UserImporter should use User.changePassword 
75,JCR-2783, ItemManager.toString() causes StackOverflowError 
76,JCR-2595, SessionImpl.createSession uses same Subject/LoginContext 
77,JCR-119, workspace.copy does not copy binary properties properly 
78,JCR-1450, move method of the MemoryFileSystem may accept invalid destination path resulting in invalid entries in FS 
79,JCR-2522, unable to workspace import XML. 
80,JCR-3050, NullPointerException on removing a node acquired from search result 
81,JCR-1156, DatabaseJournal refactoring for subclassing capability 
82,JCR-2424, Avoid Maven 3 warnings 
83,JCR-961, Add workspace population tool 
84,JCR-2784, NodeStateMerger.merge should abort if the primary type of the 2 states to be compare are not the same 
85,JCR-2536, spi2davex: InvalidItemStateException not properly extracted from ambiguous response error 
86,JCR-69, removing source parent node after session move throws on save 
87,JCR-2322, Fix NOTICE files to match consensus from legal team 
88,JCR-1241, NodeIndexer creates unnecessary string representation of Name value 
89,JCR-888, javax.jcr.NamespaceException: : is not a registered namespace uri 
90,JCR-2735, Make SessionProvider pluggable in JCRWebdavServerServlet 
91,JCR-439," Workspace.clone() fails the second time, if cloning referenceables "
92,JCR-674, String properties with invalid XML characters export as invalid XML 
93,JCR-2220, Use the remote-resources-plugin to add LICENSE and NOTICE files to binaries 
94,JCR-2337, TCK: NodeMixinUtil should exclude for mix:shareable 
95,JCR-528, TCK: GetPersistentQueryPathTest and SaveTest require nt:query 
96,JCR-2918, Avoid unnecessary index reader calls when using aggregate definitions 
97,JCR-2518, Make ItemIds more stable 
98,JCR-1449, Registering nodetypes with empty namespace prefix causes a namespace exception in sync node 
99,JCR-874, Move & copy objects 
100,JCR-2167, CompactNodeTypeDefReader could auto-provide default namespace mappings if omitted 
101,JCR-2945, Token authentication parameters are not loaded from JAAS configuration. 
102,JCR-1720, Jcr2Spi: configuration entry for size of ItemCache 
103,JCR-418, .NET build scripts for Jackrabbit 
104,JCR-2614, Include the WebDAV litmus tests in the Jackrabbit integration tests 
105,JCR-2238, Binary throws NullPointerException  
106,JCR-1784, OCM:The UUID of the collection elements changes on update. 
107,JCR-2297, Registering multiple node types with the same name in a single file must fail 
108,JCR-683, Bad transitive dependencies in commons-httpclient 
109,JCR-550, OutOfMemoryError when re-indexing the repository 
110,JCR-1280, Path.equals does not work for other Path implementations 
