,ID,SUMMARY
0,LUCENE-2719, Re-add SorterTemplate and use it to provide fast ArraySorting and replace BytesRefHash sorting 
1,LUCENE-754," FieldCache keeps hard references to readers, doesn't prevent multiple threads from creating same instance "
2,LUCENE-1487, FieldCacheTermsFilter 
3,LUCENE-2216, OpenBitSet#hashCode() may return false for identical sets. 
4,LUCENE-1061, Adding a factory to QueryParser to instantiate query instances 
5,LUCENE-456, Duplicate hits and missing hits in sorted search 
6,LUCENE-2243, FastVectorHighlighter: support DisjunctionMaxQuery 
7,LUCENE-2458, queryparser makes all CJK queries phrase queries regardless of analyzer 
8,LUCENE-2670, allow automatontermsenum to work on full byte range 
9,LUCENE-3183, TestIndexWriter failure: AIOOBE 
10,LUCENE-2606, optimize contrib/regex for flex 
11,LUCENE-609, Lazy field loading breaks backward compat 
12,LUCENE-912, DisjunctionMaxScorer.skipTo has bug that keeps it from skipping 
13,LUCENE-2144, InstantiatedIndexReader does not handle #termDocs(null) correct (AllTermDocs) 
14,LUCENE-3129, Single-pass grouping collector based on doc blocks 
15,LUCENE-1826, All Tokenizer implementations should have constructors that take AttributeSource and AttributeFactory 
16,LUCENE-3743, LuceneTestCase's uncaught exceptions handler should check for AssumptionViolatedExceptions and then not trigger test failure 
17,LUCENE-1495, Allow TaskSequence to run for certain time 
18,LUCENE-3483, Move Function grouping collectors from Solr to grouping module 
19,LUCENE-882, Spellchecker doesn't need to store ngrams 
20,LUCENE-3472, add back Document.getValues() 
21,LUCENE-2826, LineDocSource should assign stable IDs; docdate field should be NumericField 
22,LUCENE-1435, CollationKeyFilter: convert tokens into CollationKeys encoded using IndexableBinaryStringTools 
23,LUCENE-539, Fix for deprecations in contrib/surround 
24,LUCENE-2035, TokenSources.getTokenStream() does not assign positionIncrement 
25,LUCENE-3196, Optimize FixedStraightBytes for bytes size == 1 
26,LUCENE-764, Document the temporary free space requirements of IndexWriter methods 
27,LUCENE-1903, Incorrect ShingleFilter behavior when outputUnigrams == false 
28,LUCENE-1843," Convert some tests to new TokenStream API, better support of cross-impl AttributeImpl.copyTo() "
29,LUCENE-661, BUILD.txt instructions wrong for JavaCC 
30,LUCENE-2038, Systemrequirements should say 1.5 instead of 1.4 
31,LUCENE-771, Change default write lock file location to index directory (not java.io.tmpdir) 
32,LUCENE-929, contrib/benchmark build doesn't handle checking if content is properly extracted 
33,LUCENE-2254, Support more queries (other than just title) in Trec quality pkg 
34,LUCENE-2634, IndexReader.isCurrent() lies if documents were only removed by latest commit 
35,LUCENE-3186, DocValues type should be recored in FNX file to early fail if user specifies incompatible type 
36,LUCENE-1449, IndexDeletionPolicy.delete behaves incorrectly when deleting latest generation  
37,LUCENE-3210, TieredMergePolicy should expose control over how aggressively segments with deletions are targeted  
38,LUCENE-207, [PATCH] npe if java.io.tmpdir does not exist 
39,LUCENE-1582, Make TrieRange completely independent from Document/Field with TokenStream of prefix encoded values 
40,LUCENE-1325, add IndexCommit.isOptimized method 
41,LUCENE-1142, Updated Snowball package 
42,LUCENE-3690, JFlex-based HTMLStripCharFilter replacement 
43,LUCENE-1346, replace Vector with ArrayList in Queries 
44,LUCENE-2961, Remove benchmark/lib/xml-apis.jar - JVM 1.5 already contains the required JAXP 1.3 implementation 
45,LUCENE-1809, highlight-vs-vector-highlight.alg is unfair 
46,LUCENE-3644, problems with IR's readerFinishedListener 
47,LUCENE-3578, TestSort testParallelMultiSort reproducible seed failure 
48,LUCENE-1724, Analysis package calls Java 1.5 API 
49,LUCENE-2055, Fix buggy stemmers and Remove duplicate analysis functionality 
50,LUCENE-3306, disable positions for spellchecker ngram fields 
51,LUCENE-1488, multilingual analyzer based on icu 
52,LUCENE-2444, move contrib/analyzers to modules/analysis 
53,LUCENE-941, Benchmark alg line -  {[AddDoc(4000)]: 4} : * - causes an infinite loop 
54,LUCENE-3776, NRTManager shouldn't expose its private SearcherManager 
55,LUCENE-3658, NRTCachingDir has invalid asserts (if same file name is written twice) 
56,LUCENE-1327, TermSpans skipTo() doesn't always move forwards 
57,LUCENE-3074, SimpleTextCodec needs SimpleText DocValues impl 
58,LUCENE-1369, Eliminate unnecessary uses of Hashtable and Vector 
59,LUCENE-3573," TaxonomyReader.refresh() is broken, replace its logic with reopen(), following IR.reopen pattern "
60,LUCENE-2169, Speedup of CharArraySet#copy if a CharArraySet instance is passed to copy. 
61,LUCENE-1465, NearSpansOrdered.getPayload does not return the payload from the minimum match span 
62,LUCENE-2796, Tests need to clean up after themselves 
63,LUCENE-2012, Add @Override annotations 
64,LUCENE-3687, Allow similarity to encode norms other than a single byte 
65,LUCENE-540, Merging multiple indexes does not maintain document order. 
